formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C31H20O8,"{'C': 31, 'H': 20, 'O': 8}",520.11581760116,neutral,0,PEI,Polyetherimide (Ultem),parent,M,0,0,,,,1.0
C31H19O8,"{'C': 31, 'H': 19, 'O': 8}",519.1079925689301,negative,-1,PEI,Polyetherimide (Ultem),adduct,M | -H,0,0,-H,,,0.75
C31H21O8,"{'C': 31, 'H': 21, 'O': 8}",521.12364263339,positive,1,PEI,Polyetherimide (Ultem),adduct,M | H,0,0,H,,,0.75
C31H18O8,"{'C': 31, 'H': 18, 'O': 8}",518.1001675367,negative,-1,PEI,Polyetherimide (Ultem),adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C31H19O8,"{'C': 31, 'H': 19, 'O': 8}",519.1079925689301,neutral,0,PEI,Polyetherimide (Ultem),h_shift,M | H shift -1,0,-1,,,,0.7
C31H20O8,"{'C': 31, 'H': 20, 'O': 8}",520.11581760116,positive,1,PEI,Polyetherimide (Ultem),adduct,M | H shift -1 | H,0,-1,H,,,0.7
C31H20O8,"{'C': 31, 'H': 20, 'O': 8}",520.11581760116,negative,-1,PEI,Polyetherimide (Ultem),adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C31H21O8,"{'C': 31, 'H': 21, 'O': 8}",521.12364263339,neutral,0,PEI,Polyetherimide (Ultem),h_shift,M | H shift +1,0,1,,,,0.7
C31H22O8,"{'C': 31, 'H': 22, 'O': 8}",522.13146766562,positive,1,PEI,Polyetherimide (Ultem),adduct,M | H shift +1 | H,0,1,H,,,0.7
C30H17O8,"{'C': 30, 'H': 17, 'O': 8}",505.09234250447,neutral,0,PEI,Polyetherimide (Ultem),neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2 | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,CH3,,0.65
