formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C31H19N3O7,"{'C': 31, 'H': 19, 'N': 3, 'O': 7}",545.12229996265,neutral,0,PI,Polyimide (Kapton),parent,M,0,0,,,,1.0
C31H18N3O7,"{'C': 31, 'H': 18, 'N': 3, 'O': 7}",544.11447493042,negative,-1,PI,Polyimide (Kapton),adduct,M | -H,0,0,-H,,,0.75
C31H20N3O7,"{'C': 31, 'H': 20, 'N': 3, 'O': 7}",546.13012499488,positive,1,PI,Polyimide (Kapton),adduct,M | H,0,0,H,,,0.75
C31H17N3O7,"{'C': 31, 'H': 17, 'N': 3, 'O': 7}",543.10664989819,negative,-1,PI,Polyimide (Kapton),adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C31H18N3O7,"{'C': 31, 'H': 18, 'N': 3, 'O': 7}",544.11447493042,neutral,0,PI,Polyimide (Kapton),h_shift,M | H shift -1,0,-1,,,,0.7
C31H19N3O7,"{'C': 31, 'H': 19, 'N': 3, 'O': 7}",545.12229996265,positive,1,PI,Polyimide (Kapton),adduct,M | H shift -1 | H,0,-1,H,,,0.7
C31H19N3O7,"{'C': 31, 'H': 19, 'N': 3, 'O': 7}",545.12229996265,negative,-1,PI,Polyimide (Kapton),adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C31H20N3O7,"{'C': 31, 'H': 20, 'N': 3, 'O': 7}",546.13012499488,neutral,0,PI,Polyimide (Kapton),h_shift,M | H shift +1,0,1,,,,0.7
C31H21N3O7,"{'C': 31, 'H': 21, 'N': 3, 'O': 7}",547.13795002711,positive,1,PI,Polyimide (Kapton),adduct,M | H shift +1 | H,0,1,H,,,0.7
C53H28N5O12,"{'C': 53, 'H': 28, 'N': 5, 'O': 12}",926.17344635943,negative,-1,PI,Polyimide (Kapton),adduct,M + 1×repeat | -H,0,0,-H,,,0.67
C53H29N5O12,"{'C': 53, 'H': 29, 'N': 5, 'O': 12}",927.1812713916601,neutral,0,PI,Polyimide (Kapton),oligomer,M + 1×repeat,0,0,,,,0.67
C53H30N5O12,"{'C': 53, 'H': 30, 'N': 5, 'O': 12}",928.18909642389,positive,1,PI,Polyimide (Kapton),adduct,M + 1×repeat | H,0,0,H,,,0.67
C30H16N3O7,"{'C': 30, 'H': 16, 'N': 3, 'O': 7}",530.09882486596,neutral,0,PI,Polyimide (Kapton),neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2 | ; | break 1 bond(s) + 1×repeat | H shift +2 | -CO,0,0,,CH3,,0.65
C30H19N3O5,"{'C': 30, 'H': 19, 'N': 3, 'O': 5}",501.13247072351,neutral,0,PI,Polyimide (Kapton),neutral_loss,M | -CO2,0,0,,CO2,,0.65
C30H19N3O6,"{'C': 30, 'H': 19, 'N': 3, 'O': 6}",517.12738534308,neutral,0,PI,Polyimide (Kapton),neutral_loss,M | -CO,0,0,,CO,,0.65
