formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C2H4F2,"{'C': 2, 'H': 4, 'F': 2}",66.02810645438,neutral,0,PVDF,Polyvinylidene Fluoride,parent,M,0,0,,,,1.0
C2H3F2,"{'C': 2, 'H': 3, 'F': 2}",65.02028142215,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M | -H,0,0,-H,,,0.75
C2H5F2,"{'C': 2, 'H': 5, 'F': 2}",67.03593148661,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | H,0,0,H,,,0.75
C2H2F2,"{'C': 2, 'H': 2, 'F': 2}",64.01245638992,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C2H3F2,"{'C': 2, 'H': 3, 'F': 2}",65.02028142215,neutral,0,PVDF,Polyvinylidene Fluoride,h_shift,M | H shift -1,0,-1,,,,0.7
C2H4F2,"{'C': 2, 'H': 4, 'F': 2}",66.02810645438,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C2H4F2,"{'C': 2, 'H': 4, 'F': 2}",66.02810645438,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C2H5F2,"{'C': 2, 'H': 5, 'F': 2}",67.03593148661,neutral,0,PVDF,Polyvinylidene Fluoride,h_shift,M | H shift +1,0,1,,,,0.7
C2H6F2,"{'C': 2, 'H': 6, 'F': 2}",68.04375651884,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift +1 | H,0,1,H,,,0.7
C4H5F4,"{'C': 4, 'H': 5, 'F': 4}",129.03273781207,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M + 1×repeat | -H,0,0,-H,,,0.67
C4H6F4,"{'C': 4, 'H': 6, 'F': 4}",130.0405628443,neutral,0,PVDF,Polyvinylidene Fluoride,oligomer,M + 1×repeat,0,0,,,,0.67
C4H7F4,"{'C': 4, 'H': 7, 'F': 4}",131.04838787653,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M + 1×repeat | H,0,0,H,,,0.67
C2H2F2,"{'C': 2, 'H': 2, 'F': 2}",64.01245638992,neutral,0,PVDF,Polyvinylidene Fluoride,h_shift,M | H shift -2,0,-2,,,,0.65
C2H2F2,"{'C': 2, 'H': 2, 'F': 2}",64.01245638992,neutral,0,PVDF,Polyvinylidene Fluoride,neutral_loss,M | -H2,0,0,,H2,,0.65
C2H3F,"{'C': 2, 'H': 3, 'F': 1}",46.02187825942,neutral,0,PVDF,Polyvinylidene Fluoride,neutral_loss,M | -HF | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,0,,HF,,0.65
C2H3F2,"{'C': 2, 'H': 3, 'F': 2}",65.02028142215,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C2H5F2,"{'C': 2, 'H': 5, 'F': 2}",67.03593148661,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C2H6F2,"{'C': 2, 'H': 6, 'F': 2}",68.04375651884,neutral,0,PVDF,Polyvinylidene Fluoride,h_shift,M | H shift +2,0,2,,,,0.65
C2H7F2,"{'C': 2, 'H': 7, 'F': 2}",69.05158155107,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift +2 | H,0,2,H,,,0.65
C2HF2,"{'C': 2, 'H': 1, 'F': 2}",63.00463135769,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
CHF2,"{'C': 1, 'H': 1, 'F': 2}",51.00463135769,neutral,0,PVDF,Polyvinylidene Fluoride,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,CH3,,0.65
C2H4ClF2,"{'C': 2, 'H': 4, 'F': 2, 'Cl': 1}",100.99695913638,negative,-1,PVDF,Polyvinylidene Fluoride,adduct,M | Cl,0,0,Cl,,,0.63
C2H4F2K,"{'C': 2, 'H': 4, 'F': 2, 'K': 1}",104.99181294078,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | K,0,0,K,,,0.63
C2H4F2Na,"{'C': 2, 'H': 4, 'F': 2, 'Na': 1}",89.01787573638,positive,1,PVDF,Polyvinylidene Fluoride,adduct,M | Na,0,0,Na,,,0.63
