formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C4H6F4,"{'C': 4, 'H': 6, 'F': 4}",130.0405628443,neutral,0,ETFE,Ethylene-TFE copolymer,parent,M,0,0,,,,1.0
C4H5F4,"{'C': 4, 'H': 5, 'F': 4}",129.03273781207,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | -H,0,0,-H,,,0.75
C4H7F4,"{'C': 4, 'H': 7, 'F': 4}",131.04838787653,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | H,0,0,H,,,0.75
C4H4F4,"{'C': 4, 'H': 4, 'F': 4}",128.02491277984,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C4H5F4,"{'C': 4, 'H': 5, 'F': 4}",129.03273781207,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,M | H shift -1,0,-1,,,,0.7
C4H6F4,"{'C': 4, 'H': 6, 'F': 4}",130.0405628443,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C4H6F4,"{'C': 4, 'H': 6, 'F': 4}",130.0405628443,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C4H7F4,"{'C': 4, 'H': 7, 'F': 4}",131.04838787653,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,M | H shift +1,0,1,,,,0.7
C4H8F4,"{'C': 4, 'H': 8, 'F': 4}",132.05621290876,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift +1 | H,0,1,H,,,0.7
C3H3F4,"{'C': 3, 'H': 3, 'F': 4}",115.01708774761,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,CH3,,0.65
C4H3F4,"{'C': 4, 'H': 3, 'F': 4}",127.01708774761,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
C4H4F4,"{'C': 4, 'H': 4, 'F': 4}",128.02491277984,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,M | H shift -2,0,-2,,,,0.65
C4H4F4,"{'C': 4, 'H': 4, 'F': 4}",128.02491277984,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,M | -H2,0,0,,H2,,0.65
C4H5F3,"{'C': 4, 'H': 5, 'F': 3}",110.03433464934,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,M | -HF | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,0,,HF,,0.65
C4H5F4,"{'C': 4, 'H': 5, 'F': 4}",129.03273781207,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C4H7F4,"{'C': 4, 'H': 7, 'F': 4}",131.04838787653,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C4H8F4,"{'C': 4, 'H': 8, 'F': 4}",132.05621290876,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,M | H shift +2,0,2,,,,0.65
C4H9F4,"{'C': 4, 'H': 9, 'F': 4}",133.06403794099,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | H shift +2 | H,0,2,H,,,0.65
C4H6ClF4,"{'C': 4, 'H': 6, 'F': 4, 'Cl': 1}",165.0094155263,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | Cl,0,0,Cl,,,0.63
C4H6F4K,"{'C': 4, 'H': 6, 'F': 4, 'K': 1}",169.0042693307,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | K,0,0,K,,,0.63
C4H6F4Na,"{'C': 4, 'H': 6, 'F': 4, 'Na': 1}",153.0303321263,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M | Na,0,0,Na,,,0.63
C4H6F4O,"{'C': 4, 'H': 6, 'F': 4, 'O': 1}",146.03547746387,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | O,0,0,O,,,0.63
C4H7F4O,"{'C': 4, 'H': 7, 'F': 4, 'O': 1}",147.0433024961,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C2F4,"{'C': 2, 'F': 4}",99.99361265092,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H,1,0,-H,,"[2, 3, 4, 5, 6, 7, 13]",0.6
